,user_id,group,decision_rank,decision,left_age,right_age,left_dependents,right_dependents,left_drinking,right_drinking
309,26,cf,5,1,2,1,0,0,2,2
310,17,cf,14,0,1,1,2,2,1,2
311,19,nocf,5,1,2,1,0,0,2,2
312,16,cf,7,1,2,2,0,2,2,2
313,19,nocf,6,1,1,1,0,0,2,0
314,5,cf,12,2,1,2,2,0,0,0
315,17,cf,15,0,1,0,2,0,0,0
316,18,cf,8,0,1,1,0,0,2,0
317,21,nocf,7,1,2,2,0,2,2,2
318,16,cf,8,0,1,1,0,0,2,0
319,5,cf,13,0,1,1,1,2,0,0
320,15,cf,9,1,1,1,1,2,1,2
321,21,nocf,8,0,1,1,0,0,2,0
322,20,cf,4,0,4,1,0,0,0,2
323,16,cf,9,2,1,1,1,2,1,2
324,15,cf,10,1,1,1,1,2,2,2
325,18,cf,10,2,1,1,1,2,2,2
326,19,nocf,10,1,1,1,1,2,2,2
327,21,nocf,10,1,1,1,1,2,2,2
328,20,cf,5,2,2,1,0,0,2,2
329,21,nocf,11,0,2,0,2,0,2,0
330,21,nocf,12,0,1,2,2,0,0,0
331,20,cf,6,1,1,1,0,0,2,0
332,19,nocf,14,0,1,1,2,2,1,2
333,15,cf,11,0,2,0,2,0,2,0
334,18,cf,11,2,2,0,2,0,2,0
335,21,nocf,15,0,1,0,2,0,0,0
336,16,cf,14,0,1,1,2,2,1,2
337,15,cf,12,0,1,2,2,0,0,0
338,20,cf,8,0,1,1,0,0,2,0
339,18,cf,14,0,1,1,2,2,1,2
340,22,cf,3,0,1,1,0,0,0,1
341,15,cf,14,0,1,1,2,2,1,2
342,23,cf,2,0,0,2,0,0,0,0
343,18,cf,15,2,1,0,2,0,0,0
344,26,cf,1,2,0,1,0,0,0,0
345,24,cf,2,2,0,2,0,0,0,0
346,20,cf,10,2,1,1,1,2,2,2
347,22,cf,6,1,1,1,0,0,2,0
348,24,cf,3,2,1,1,0,0,0,1
349,23,cf,3,0,1,1,0,0,0,1
350,15,cf,15,0,1,0,2,0,0,0
351,25,cf,2,0,0,2,0,0,0,0
352,20,cf,11,1,2,0,2,0,2,0
353,28,cf,1,0,0,1,0,0,0,0
354,25,cf,3,0,1,1,0,0,0,1
355,23,cf,4,1,4,1,0,0,0,2
356,22,cf,8,0,1,1,0,0,2,0
357,24,cf,5,2,2,1,0,0,2,2
358,20,cf,12,0,1,2,2,0,0,0
359,28,cf,2,0,0,2,0,0,0,0
360,25,cf,4,0,4,1,0,0,0,2
361,23,cf,5,1,2,1,0,0,2,2
362,27,nocf,1,0,0,1,0,0,0,0
363,24,cf,7,2,2,2,0,2,2,2
364,22,cf,9,0,1,1,1,2,1,2
365,22,cf,10,0,1,1,1,2,2,2
366,20,cf,13,2,1,1,1,2,0,0
367,22,cf,11,1,2,0,2,0,2,0
368,27,nocf,3,0,1,1,0,0,0,1
369,23,cf,7,1,2,2,0,2,2,2
370,20,cf,14,0,1,1,2,2,1,2
371,25,cf,7,1,2,2,0,2,2,2
372,24,cf,12,2,1,2,2,0,0,0
373,27,nocf,5,1,2,1,0,0,2,2
374,22,cf,14,2,1,1,2,2,1,2
375,20,cf,15,0,1,0,2,0,0,0
376,26,cf,7,1,2,2,0,2,2,2
377,29,nocf,1,1,0,1,0,0,0,0
378,27,nocf,8,0,1,1,0,0,2,0
379,25,cf,9,0,1,1,1,2,1,2
380,23,cf,9,0,1,1,1,2,1,2
381,30,cf,1,0,0,1,0,0,0,0
382,27,nocf,9,1,1,1,1,2,1,2
383,25,cf,10,1,1,1,1,2,2,2
384,28,cf,7,2,2,2,0,2,2,2
385,29,nocf,5,1,2,1,0,0,2,2
386,25,cf,11,0,2,0,2,0,2,0
387,29,nocf,6,1,1,1,0,0,2,0
388,31,nocf,1,0,0,1,0,0,0,0
389,30,cf,3,0,1,1,0,0,0,1
390,26,cf,10,2,1,1,1,2,2,2
391,31,nocf,2,0,0,2,0,0,0,0
392,27,nocf,15,0,1,0,2,0,0,0
393,30,cf,4,0,4,1,0,0,0,2
394,26,cf,11,1,2,0,2,0,2,0
395,32,cf,1,0,0,1,0,0,0,0
396,29,nocf,8,0,1,1,0,0,2,0
397,32,cf,2,0,0,2,0,0,0,0
398,28,cf,10,2,1,1,1,2,2,2
399,25,cf,15,0,1,0,2,0,0,0
